cluster,skills
Finance,Reading Comprehension
Arts,Active Listening
Medicine,Writing
Teaching,Speaking
Manufacturing Production,Mathematics
Legal Services,Science
Business Management & Administration,Critical Thinking
Marketing Management,Active Learning
Sales,Learning Strategies
Engineering and Technology,Monitoring
"Agriculture, Food & Natural Resources",Social Perceptiveness
Public Administration,Coordination
Transportation,Persuasion
Hospitality,Negotiation
Emergency & Law Enforcement,Instructing
Science and Math,Service Orientation
Architecture,Complex Problem Solving
Education Administration,Operations Analysis
Information Technology,Technology Design
Government,Equipment Selection
Food/Beverage Services,Installation
Personal Care Services,Programming
Health Administration,Operation Monitoring
Construction,Operation and Control
Communications,Equipment Maintenance
Communications and Writing,Troubleshooting
Installation & Repair,Repairing
Human Services,Quality Control Analysis
Digital Arts,Judgment and Decision Making
Nursing,Systems Analysis
,Systems Evaluation
,Time Management
,Management of Financial Resources
,Management of Material Resources
,Management of Personnel Resources