skill,skill_type
Active Learning,Analytical
Complex Problem Solving,Analytical
Critical Thinking,Analytical
Judgment and Decision Making,Analytical
Learning Strategies,Analytical
Management of Financial Resources,Analytical
Management of Material Resources,Analytical
Mathematics,Analytical
Monitoring,Analytical
Operations Analysis,Analytical
Reading Comprehension,Analytical
Systems Analysis,Analytical
Systems Evaluation,Analytical
Active Listening,Social
Coordination,Social
Instructing,Social
Management of Personnel Resources,Social
Negotiation,Social
Persuasion,Social
Service Orientation,Social
Social Perceptiveness,Social
Speaking,Social
Time Management,Social
Writing,Social
Equipment Maintenance,Technical
Equipment Selection,Technical
Installation,Technical
Operation and Control,Technical
Operation Monitoring,Technical
Programming,Technical
Quality Control Analysis,Technical
Repairing,Technical
Science,Technical
Technology Design,Technical
Troubleshooting,Technical